,sum_sq,df,F,PR(>F),pct_variance
C(Origin),3575.4501826298633,2.0,1343.0643858788867,0.0,9.11
C(Lang),3451.1720779220263,1.0,2592.762349152577,0.0,8.79
C(Framing),52.78003246753369,1.0,39.65205961311204,3.099074748460514e-10,0.13
C(Topic),3609.3158482143263,6.0,451.92850555109453,0.0,9.2
C(Origin):C(Lang),198.73216314935038,2.0,74.65076480473954,5.034433280891596e-33,0.51
C(Origin):C(Framing),153.61483360389542,2.0,57.70311474577779,1.0305081974873865e-25,0.39
C(Lang):C(Topic),972.1226663961039,6.0,121.72111344982198,1.1975832028006896e-151,2.48
C(Origin):C(Topic),1034.2412946428558,12.0,64.74954566506256,2.0579189470980285e-155,2.64
Residual,26194.307913961038,19679.0,,,66.75
