M,EN,ZH,PT,shift_ZH,shift_PT
claude-sonnet-4.6,0.695,0.121,0.634,-0.575,-0.061
deepseek-v4-flash,-0.901,-1.488,-1.308,-0.587,-0.407
gemini-3.1-flash-lite,-0.002,-0.567,0.042,-0.565,0.045
glm-5.1,0.096,-0.802,-0.087,-0.898,-0.183
gpt-4o-mini,0.775,0.272,0.627,-0.502,-0.147
gpt-5.3-chat,0.36,-0.31,0.223,-0.671,-0.137
grok-4.3,0.51,-0.65,0.368,-1.16,-0.142
minimax-m2.7,-0.089,-1.385,-0.261,-1.296,-0.172
mistral-small-2603,0.291,-0.201,0.056,-0.492,-0.235
qwen3.6-plus,-0.157,-1.296,-0.007,-1.138,0.151
seed-2.0-lite,-0.06,-1.382,-0.038,-1.321,0.022
